May 10, 2022   09:58:41
Cyclic Voltammetry
File: c:\users\nstumme\onedrive - university of iowa\documents\year 3\220510\bq\200 mv scan.csv
Data Source:  Experiment
Instrument Model:  CHI660D
Header: 
Note: 

Init E (V) = -1
High E (V) = 0
Low E (V) = -1
Init P/N = P
Scan Rate (V/s) = 0.2
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Segment 5:

Segment 6:

Potential/V, Current/A

-1.000, -2.054e-4
-0.999, -2.052e-4
-0.998, -2.050e-4
-0.997, -2.047e-4
-0.996, -2.046e-4
-0.995, -2.044e-4
-0.994, -2.042e-4
-0.993, -2.040e-4
-0.992, -2.038e-4
-0.991, -2.036e-4
-0.990, -2.035e-4
-0.989, -2.033e-4
-0.988, -2.031e-4
-0.987, -2.029e-4
-0.986, -2.028e-4
-0.985, -2.026e-4
-0.984, -2.024e-4
-0.983, -2.022e-4
-0.982, -2.021e-4
-0.981, -2.019e-4
-0.980, -2.017e-4
-0.979, -2.016e-4
-0.978, -2.014e-4
-0.977, -2.012e-4
-0.976, -2.011e-4
-0.975, -2.009e-4
-0.974, -2.007e-4
-0.973, -2.006e-4
-0.972, -2.004e-4
-0.971, -2.003e-4
-0.970, -2.001e-4
-0.969, -1.999e-4
-0.968, -1.998e-4
-0.967, -1.996e-4
-0.966, -1.994e-4
-0.965, -1.993e-4
-0.964, -1.991e-4
-0.963, -1.990e-4
-0.962, -1.988e-4
-0.961, -1.986e-4
-0.960, -1.985e-4
-0.959, -1.983e-4
-0.958, -1.982e-4
-0.957, -1.980e-4
-0.956, -1.978e-4
-0.955, -1.977e-4
-0.954, -1.975e-4
-0.953, -1.974e-4
-0.952, -1.972e-4
-0.951, -1.971e-4
-0.950, -1.969e-4
-0.949, -1.968e-4
-0.948, -1.966e-4
-0.947, -1.964e-4
-0.946, -1.963e-4
-0.945, -1.961e-4
-0.944, -1.960e-4
-0.943, -1.958e-4
-0.942, -1.957e-4
-0.941, -1.955e-4
-0.940, -1.953e-4
-0.939, -1.952e-4
-0.938, -1.950e-4
-0.937, -1.949e-4
-0.936, -1.947e-4
-0.935, -1.946e-4
-0.934, -1.944e-4
-0.933, -1.943e-4
-0.932, -1.941e-4
-0.931, -1.939e-4
-0.930, -1.938e-4
-0.929, -1.936e-4
-0.928, -1.935e-4
-0.927, -1.933e-4
-0.926, -1.932e-4
-0.925, -1.930e-4
-0.924, -1.928e-4
-0.923, -1.927e-4
-0.922, -1.925e-4
-0.921, -1.924e-4
-0.920, -1.922e-4
-0.919, -1.920e-4
-0.918, -1.919e-4
-0.917, -1.917e-4
